;account_id;account_district_id;statement_freq;account_open_date
0;576;55;MONTHLY;1993-01-01
1;3818;74;MONTHLY;1993-01-01
2;704;55;MONTHLY;1993-01-01
3;2378;16;MONTHLY;1993-01-01
4;2632;24;MONTHLY;1993-01-02
5;1972;77;MONTHLY;1993-01-02
6;1539;1;TRANSACTION;1993-01-03
7;793;47;MONTHLY;1993-01-03
8;2484;74;MONTHLY;1993-01-03
9;1695;76;MONTHLY;1993-01-03
10;1726;48;MONTHLY;1993-01-03
11;2881;70;MONTHLY;1993-01-04
12;2357;19;MONTHLY;1993-01-04
13;2177;62;MONTHLY;1993-01-04
14;485;6;TRANSACTION;1993-01-04
15;652;21;MONTHLY;1993-01-05
16;9635;70;MONTHLY;1993-01-05
17;1844;44;MONTHLY;1993-01-06
18;1926;37;MONTHLY;1993-01-06
19;2393;10;MONTHLY;1993-01-07
20;3510;41;MONTHLY;1993-01-07
21;1276;36;MONTHLY;1993-01-07
22;1637;1;MONTHLY;1993-01-08
23;3871;26;MONTHLY;1993-01-08
24;192;55;MONTHLY;1993-01-08
25;764;1;MONTHLY;1993-01-08
26;2087;7;WEEKLY;1993-01-08
27;2122;68;MONTHLY;1993-01-08
28;3592;54;MONTHLY;1993-01-08
29;3487;41;MONTHLY;1993-01-08
30;435;38;MONTHLY;1993-01-08
31;1730;1;MONTHLY;1993-01-09
32;1493;41;MONTHLY;1993-01-09
33;374;38;MONTHLY;1993-01-09
34;2925;1;MONTHLY;1993-01-10
35;866;9;MONTHLY;1993-01-10
36;1628;60;MONTHLY;1993-01-10
37;2379;44;MONTHLY;1993-01-10
38;1979;26;MONTHLY;1993-01-11
39;346;37;MONTHLY;1993-01-11
40;1338;74;MONTHLY;1993-01-11
41;1909;14;MONTHLY;1993-01-12
42;2099;3;WEEKLY;1993-01-12
43;3760;44;MONTHLY;1993-01-13
44;5270;44;MONTHLY;1993-01-13
45;1699;53;MONTHLY;1993-01-14
46;3909;1;MONTHLY;1993-01-14
47;2926;50;MONTHLY;1993-01-14
48;1731;33;MONTHLY;1993-01-14
