;card_id;disp_id;card_type;card_issued_date
0;1005;9285;classic;1993-11-07
1;104;588;classic;1994-01-19
2;747;4915;classic;1994-02-05
3;70;439;classic;1994-02-08
4;577;3687;classic;1994-02-15
5;377;2429;classic;1994-03-03
6;721;4680;junior;1994-04-05
7;437;2762;classic;1994-06-01
8;188;1146;classic;1994-06-19
9;13;87;classic;1994-06-29
10;732;4763;classic;1994-07-21
11;181;1066;classic;1994-08-19
12;384;2475;junior;1994-09-15
13;309;1946;classic;1994-09-19
14;478;3084;classic;1994-10-09
15;563;3589;classic;1994-10-21
16;369;2363;classic;1994-11-08
17;376;2428;classic;1994-11-10
18;483;3115;classic;1994-11-24
19;174;1039;junior;1994-12-04
20;658;4251;classic;1994-12-25
21;763;5138;junior;1994-12-30
22;778;5275;classic;1995-01-02
23;1039;9837;classic;1995-01-07
24;477;3082;junior;1995-01-16
25;168;1018;classic;1995-01-24
26;314;1999;junior;1995-01-27
27;468;3023;classic;1995-01-30
28;208;1246;gold;1995-02-08
29;766;5200;classic;1995-02-11
30;464;2984;classic;1995-02-21
31;497;3184;classic;1995-03-03
32;166;999;classic;1995-03-05
33;15;114;classic;1995-03-05
34;503;3225;classic;1995-03-08
35;1038;9787;junior;1995-03-30
36;737;4791;classic;1995-04-13
37;418;2623;classic;1995-04-14
38;759;5117;junior;1995-04-18
39;223;1353;classic;1995-04-18
40;5;51;junior;1995-04-24
41;159;946;classic;1995-05-01
42;1223;13231;junior;1995-05-02
43;662;4293;classic;1995-05-09
44;779;5323;junior;1995-05-21
45;1040;9890;junior;1995-05-28
46;545;3458;classic;1995-05-30
47;467;3019;classic;1995-06-05
48;1247;13660;classic;1995-06-13
49;652;4211;classic;1995-06-16
50;559;3573;classic;1995-06-17
51;719;4663;classic;1995-06-24
52;397;2513;classic;1995-06-24
53;107;593;classic;1995-06-27
54;661;4270;classic;1995-07-03
55;484;3116;classic;1995-07-04
56;501;3197;classic;1995-07-09
57;422;2650;junior;1995-07-11
58;705;4555;classic;1995-07-12
59;410;2569;classic;1995-07-20
60;136;778;classic;1995-07-28
61;592;3782;junior;1995-08-07
62;262;1647;junior;1995-08-24
63;18;128;classic;1995-08-25
64;3;41;gold;1995-09-03
65;98;537;classic;1995-09-06
66;167;1011;classic;1995-09-15
67;97;531;junior;1995-09-19
68;699;4532;classic;1995-09-26
69;342;2157;classic;1995-09-27
70;713;4627;classic;1995-09-30
71;118;652;classic;1995-10-22
72;783;5433;junior;1995-10-24
73;1103;11189;classic;1995-11-04
74;504;3230;junior;1995-11-06
75;261;1629;gold;1995-11-09
76;296;1876;gold;1995-11-13
77;113;629;junior;1995-11-16
78;92;508;classic;1995-11-20
79;1225;13268;classic;1995-11-22
80;393;2498;junior;1995-12-03
81;695;4507;classic;1995-12-15
82;666;4328;junior;1995-12-25
